Date,AQI,Main Pollutant,Ozone_AQI,PM10_AQI,PM25_AQI,NO2_AQI
1/1/2017,82,PM2.5,31,23,82,16
1/2/2017,60,PM2.5,31,17,60,26
1/3/2017,56,PM2.5,27,17,56,20
1/4/2017,61,PM2.5,39,.,61,22
1/5/2017,38,Ozone,38,12,30,35
1/6/2017,82,PM2.5,27,23,82,37
1/7/2017,120,PM2.5,21,37,120,.
1/8/2017,117,PM2.5,27,34,117,.
1/9/2017,40,Ozone,40,2,8,.
1/10/2017,40,Ozone,40,2,5,.
1/11/2017,40,Ozone,40,2,7,.
1/12/2017,37,Ozone,37,7,25,.
1/13/2017,66,PM2.5,32,20,66,.
1/14/2017,90,PM2.5,33,31,90,.
1/15/2017,121,PM2.5,31,41,121,.
1/16/2017,116,PM2.5,32,.,116,.
1/17/2017,99,PM2.5,36,.,99,.
1/18/2017,131,PM2.5,31,.,131,.
1/19/2017,158,PM2.5,.,.,158,.
1/20/2017,142,PM2.5,.,50,142,.
1/21/2017,59,PM2.5,41,17,59,.
1/22/2017,39,Ozone,39,.,32,.
1/23/2017,42,Ozone,42,6,26,.
1/24/2017,42,Ozone,42,3,10,.
1/25/2017,52,PM2.5,39,12,52,.
1/26/2017,88,PM2.5,35,.,88,.
1/27/2017,82,PM2.5,.,21,82,.
1/28/2017,70,PM2.5,43,21,70,24
1/29/2017,86,PM2.5,38,27,86,19
1/30/2017,115,PM2.5,38,44,115,27
1/31/2017,136,PM2.5,31,49,136,29
2/1/2017,154,PM2.5,33,59,154,46
2/2/2017,167,PM2.5,37,71,167,36
2/3/2017,157,PM2.5,36,59,157,24
2/4/2017,40,Ozone,40,9,35,25
2/5/2017,44,Ozone,44,12,38,15
2/6/2017,46,Ozone,46,10,12,14
2/7/2017,45,Ozone,45,3,7,26
2/8/2017,41,Ozone,41,6,23,24
2/9/2017,45,PM2.5,24,10,45,28
2/10/2017,34,Ozone,34,2,10,19
2/11/2017,43,Ozone,43,3,8,8
2/12/2017,45,Ozone,45,6,15,9
2/13/2017,48,PM2.5,45,15,48,25
2/14/2017,72,PM2.5,45,26,72,33
2/15/2017,80,PM2.5,49,28,80,27
2/16/2017,81,PM2.5,41,34,81,22
2/17/2017,54,PM2.5,39,20,54,13
2/18/2017,37,Ozone,37,11,35,12
2/19/2017,39,Ozone,39,.,9,5
2/20/2017,36,Ozone,36,4,15,5
2/21/2017,44,Ozone,44,2,6,3
2/22/2017,48,Ozone,48,1,12,4
2/23/2017,43,Ozone,43,.,10,13
2/24/2017,44,Ozone,44,2,13,10
2/25/2017,42,Ozone,42,6,29,11
2/26/2017,53,PM2.5,45,7,53,8
2/27/2017,45,Ozone,45,5,16,6
2/28/2017,44,Ozone,44,6,15,22
3/1/2017,44,Ozone,44,.,10,12
3/2/2017,48,Ozone,48,16,30,25
3/3/2017,69,PM2.5,47,24,69,25
3/4/2017,49,PM2.5,47,.,49,14
3/5/2017,49,Ozone,49,21,9,0
3/6/2017,44,Ozone,44,10,3,7
3/7/2017,46,Ozone,46,3,8,1
3/8/2017,38,Ozone,38,4,9,8
3/9/2017,14,PM2.5,.,.,14,13
3/10/2017,28,Ozone,28,4,25,14
3/11/2017,42,Ozone,42,4,16,9
3/12/2017,44,Ozone,44,7,12,7
3/13/2017,43,Ozone,43,8,18,24
3/14/2017,45,Ozone,45,9,23,13
3/15/2017,45,Ozone,45,12,22,21
3/16/2017,17,PM2.5,.,.,17,8
3/17/2017,49,Ozone,49,12,16,19
3/18/2017,46,Ozone,46,19,15,8
3/19/2017,44,Ozone,44,5,15,5
3/20/2017,39,Ozone,39,10,17,17
3/21/2017,44,Ozone,44,27,17,18
3/22/2017,40,Ozone,40,.,25,5
3/23/2017,40,Ozone,40,5,0,7
3/24/2017,44,Ozone,44,9,11,17
3/25/2017,47,Ozone,47,4,8,9
3/26/2017,44,Ozone,44,3,11,9
3/27/2017,34,Ozone,34,4,4,22
3/28/2017,41,Ozone,41,3,1,3
3/29/2017,44,Ozone,44,6,10,10
3/30/2017,37,Ozone,37,3,10,7
3/31/2017,34,Ozone,34,2,2,10
4/1/2017,40,Ozone,40,6,13,5
4/2/2017,41,Ozone,41,5,13,5
4/3/2017,50,Ozone,50,6,14,17
4/4/2017,46,Ozone,46,4,5,8
4/5/2017,49,Ozone,49,7,6,11
4/6/2017,47,Ozone,47,13,14,9
4/7/2017,44,Ozone,44,13,12,4
4/8/2017,48,Ozone,48,2,10,.
4/9/2017,15,PM2.5,.,2,15,.
4/10/2017,34,PM2.5,.,6,34,.
4/11/2017,43,PM2.5,.,9,43,.
4/12/2017,41,PM2.5,.,13,41,.
4/13/2017,39,PM2.5,.,23,39,.
4/14/2017,10,PM2.5,.,3,10,.
4/15/2017,16,PM2.5,.,4,16,.
4/16/2017,25,PM2.5,.,7,25,.
4/17/2017,25,PM2.5,.,11,25,.
4/18/2017,26,PM2.5,.,6,26,.
4/19/2017,29,PM2.5,.,5,29,.
4/20/2017,35,PM2.5,.,.,35,.
4/21/2017,20,PM2.5,.,3,20,.
4/22/2017,33,PM2.5,.,6,33,.
4/23/2017,58,Ozone,58,8,37,.
4/24/2017,44,Ozone,44,4,19,.
4/25/2017,37,Ozone,37,2,9,.
4/26/2017,11,PM2.5,.,2,11,.
4/27/2017,47,Ozone,47,5,16,.
4/28/2017,36,Ozone,36,4,18,.
