Date,Time,gccount,Day
5/17/2017,17:00,12,Wednesday
5/17/2017,18:00,1,Wednesday
5/17/2017,19:00,0,Wednesday
5/17/2017,20:00,0,Wednesday
5/17/2017,21:00,0,Wednesday
5/17/2017,22:00,0,Wednesday
5/17/2017,23:00,0,Wednesday
5/18/2017,0:00,0,Thursday
5/18/2017,1:00,0,Thursday
5/18/2017,2:00,0,Thursday
5/18/2017,3:00,0,Thursday
5/18/2017,4:00,0,Thursday
5/18/2017,5:00,0,Thursday
5/18/2017,6:00,1,Thursday
5/18/2017,7:00,4,Thursday
5/18/2017,8:00,0,Thursday
5/18/2017,9:00,2,Thursday
5/18/2017,10:00,1,Thursday
5/18/2017,11:00,0,Thursday
5/18/2017,12:00,3,Thursday
5/18/2017,13:00,6,Thursday
5/18/2017,14:00,7,Thursday
5/18/2017,15:00,5,Thursday
5/18/2017,16:00,7,Thursday
5/18/2017,17:00,11,Thursday
5/18/2017,18:00,13,Thursday
5/18/2017,19:00,38,Thursday
5/18/2017,20:00,14,Thursday
5/18/2017,21:00,3,Thursday
5/18/2017,22:00,0,Thursday
5/18/2017,23:00,1,Thursday
5/19/2017,0:00,0,Friday
5/19/2017,1:00,0,Friday
5/19/2017,2:00,0,Friday
5/19/2017,3:00,0,Friday
5/19/2017,4:00,0,Friday
5/19/2017,5:00,0,Friday
5/19/2017,6:00,3,Friday
5/19/2017,7:00,8,Friday
5/19/2017,8:00,11,Friday
5/19/2017,9:00,33,Friday
5/19/2017,10:00,19,Friday
5/19/2017,11:00,13,Friday
5/19/2017,12:00,23,Friday
5/19/2017,13:00,20,Friday
5/19/2017,14:00,16,Friday
5/19/2017,15:00,7,Friday
5/19/2017,16:00,20,Friday
5/19/2017,17:00,22,Friday
5/19/2017,18:00,19,Friday
5/19/2017,19:00,15,Friday
5/19/2017,20:00,6,Friday
5/19/2017,21:00,4,Friday
5/19/2017,22:00,1,Friday
5/19/2017,23:00,0,Friday
5/20/2017,0:00,1,Saturday
5/20/2017,1:00,0,Saturday
5/20/2017,2:00,0,Saturday
5/20/2017,3:00,0,Saturday
5/20/2017,4:00,0,Saturday
5/20/2017,5:00,0,Saturday
5/20/2017,6:00,0,Saturday
5/20/2017,7:00,3,Saturday
5/20/2017,8:00,5,Saturday
5/20/2017,9:00,12,Saturday
5/20/2017,10:00,10,Saturday
5/20/2017,11:00,14,Saturday
5/20/2017,12:00,11,Saturday
5/20/2017,13:00,14,Saturday
5/20/2017,14:00,29,Saturday
5/20/2017,15:00,15,Saturday
5/20/2017,16:00,16,Saturday
5/20/2017,17:00,35,Saturday
5/20/2017,18:00,5,Saturday
5/20/2017,19:00,8,Saturday
5/20/2017,20:00,2,Saturday
5/20/2017,21:00,1,Saturday
5/20/2017,22:00,1,Saturday
5/20/2017,23:00,0,Saturday
5/21/2017,0:00,0,Sunday
5/21/2017,1:00,0,Sunday
