Date,NO2
1/1/2017,17
1/2/2017,28
1/3/2017,21
1/4/2017,23
1/5/2017,37
1/6/2017,39
1/28/2017,25
1/29/2017,20
1/30/2017,29
1/31/2017,31
2/1/2017,49
2/2/2017,38
2/3/2017,25
2/4/2017,27
2/5/2017,16
2/6/2017,15
2/7/2017,28
2/8/2017,25
2/9/2017,30
2/10/2017,20
2/11/2017,9
2/12/2017,10
2/13/2017,27
2/14/2017,35
2/15/2017,29
2/16/2017,23
2/17/2017,14
2/18/2017,13
2/19/2017,5
2/20/2017,5
2/21/2017,3
2/22/2017,4
2/23/2017,14
2/24/2017,11
2/25/2017,12
2/26/2017,9
2/27/2017,6
2/28/2017,23
3/1/2017,13
3/2/2017,27
3/3/2017,26
3/4/2017,15
3/5/2017,0
3/6/2017,7
3/7/2017,1
3/8/2017,8
3/9/2017,14
3/10/2017,15
3/11/2017,10
3/12/2017,7
3/13/2017,25
3/14/2017,14
3/15/2017,22
3/16/2017,8
3/17/2017,20
3/18/2017,8
3/19/2017,5
3/20/2017,18
3/21/2017,19
3/22/2017,5
3/23/2017,7
3/24/2017,18
3/25/2017,10
3/26/2017,10
3/27/2017,23
3/28/2017,3
3/29/2017,11
3/30/2017,7
3/31/2017,11
4/1/2017,5
4/2/2017,5
4/3/2017,18
4/4/2017,8
4/5/2017,12
4/6/2017,10
4/7/2017,4
5/11/2017,7
5/12/2017,6
5/13/2017,5
5/14/2017,5
5/15/2017,9
5/16/2017,6
5/17/2017,10
5/18/2017,5
5/19/2017,3
5/20/2017,8
5/21/2017,5
5/22/2017,7
5/23/2017,11
5/24/2017,9
5/25/2017,5
5/26/2017,5
5/27/2017,4
5/28/2017,4
5/29/2017,6
5/30/2017,7
5/31/2017,8
6/1/2017,10
6/2/2017,11
6/3/2017,7
6/4/2017,6
6/5/2017,10
6/6/2017,8
6/7/2017,7
6/8/2017,9
6/9/2017,5
6/10/2017,6
6/11/2017,4
6/12/2017,4
6/13/2017,5
6/14/2017,7
6/15/2017,8
6/16/2017,7
6/17/2017,6
6/18/2017,4
6/19/2017,8
6/20/2017,6
6/21/2017,7
6/22/2017,9
6/23/2017,8
6/24/2017,6
6/25/2017,5
6/26/2017,7
6/27/2017,6
6/28/2017,6
6/29/2017,5
6/30/2017,6
7/1/2017,5
7/2/2017,5
7/3/2017,7
7/4/2017,9
7/5/2017,7
7/6/2017,9
7/7/2017,7
7/8/2017,5
7/9/2017,7
7/10/2017,7
7/11/2017,7
7/12/2017,11
7/13/2017,7
7/14/2017,6
7/15/2017,9
7/16/2017,6
7/17/2017,6
7/18/2017,9
7/19/2017,10
7/20/2017,11
7/21/2017,7
7/22/2017,7
7/23/2017,7
7/24/2017,10
7/25/2017,9
7/26/2017,8
7/27/2017,12
7/28/2017,9
7/29/2017,7
7/30/2017,6
7/31/2017,13
8/1/2017,10
8/2/2017,9
8/3/2017,13
8/4/2017,8
8/5/2017,6
8/6/2017,7
8/7/2017,16
8/8/2017,7
8/9/2017,8
8/10/2017,8
8/11/2017,6
8/12/2017,5
8/13/2017,9
8/14/2017,8
8/15/2017,10
8/16/2017,11
8/17/2017,9
8/18/2017,9
8/19/2017,8
8/20/2017,8
8/21/2017,13
8/22/2017,8
8/23/2017,6
8/24/2017,8
8/25/2017,12
8/26/2017,7
8/27/2017,5
8/28/2017,21
8/29/2017,14
8/30/2017,12
8/31/2017,10
9/1/2017,8
9/2/2017,6
9/3/2017,7
9/4/2017,7
9/5/2017,22
9/6/2017,18
9/7/2017,11
9/8/2017,13
9/9/2017,9
9/10/2017,8
9/11/2017,16
9/12/2017,16
9/13/2017,7
9/14/2017,7
9/15/2017,7
9/16/2017,7
9/17/2017,7
9/18/2017,13
9/19/2017,5
9/20/2017,9
9/21/2017,3
9/22/2017,3
9/23/2017,7
9/24/2017,4
9/25/2017,12
9/26/2017,12
9/27/2017,17
9/28/2017,15
9/29/2017,9
9/30/2017,6
10/1/2017,4
10/2/2017,11
10/3/2017,9
10/4/2017,6
10/5/2017,8
10/6/2017,14
10/7/2017,9
10/8/2017,6
10/9/2017,18
10/10/2017,13
10/11/2017,17
10/12/2017,8
10/13/2017,18
10/14/2017,4
10/15/2017,12
10/16/2017,21
10/17/2017,25
10/18/2017,19
10/19/2017,26
10/20/2017,16
10/21/2017,12
10/22/2017,6
10/23/2017,10
10/24/2017,20
