Date,Ozone
1/1/2017,0.033
1/2/2017,0.033
1/3/2017,0.029
1/4/2017,0.042
1/5/2017,0.039
1/6/2017,0.029
1/7/2017,0.023
1/8/2017,0.029
1/9/2017,0.043
1/10/2017,0.042
1/11/2017,0.043
1/12/2017,0.04
1/13/2017,0.035
1/14/2017,0.036
1/15/2017,0.034
1/16/2017,0.035
1/17/2017,0.039
1/18/2017,0.033
1/21/2017,0.044
1/22/2017,0.042
1/23/2017,0.045
1/24/2017,0.045
1/25/2017,0.042
1/26/2017,0.038
1/28/2017,0.046
1/29/2017,0.041
1/30/2017,0.041
1/31/2017,0.034
2/1/2017,0.036
2/2/2017,0.04
2/3/2017,0.039
2/4/2017,0.043
2/5/2017,0.047
2/6/2017,0.05
2/7/2017,0.043
2/8/2017,0.044
2/9/2017,0.026
2/10/2017,0.037
2/11/2017,0.046
2/12/2017,0.049
2/13/2017,0.049
2/14/2017,0.049
2/15/2017,0.053
2/16/2017,0.044
2/17/2017,0.042
2/18/2017,0.04
2/19/2017,0.042
2/20/2017,0.039
2/21/2017,0.047
2/22/2017,0.052
2/23/2017,0.044
2/24/2017,0.047
2/25/2017,0.045
2/26/2017,0.049
2/27/2017,0.049
2/28/2017,0.047
3/1/2017,0.048
3/2/2017,0.052
3/3/2017,0.051
3/4/2017,0.051
3/5/2017,0.053
3/6/2017,0.047
3/7/2017,0.05
3/8/2017,0.039
3/10/2017,0.03
3/11/2017,0.045
3/12/2017,0.047
3/13/2017,0.046
3/14/2017,0.049
3/15/2017,0.049
3/17/2017,0.053
3/18/2017,0.05
3/19/2017,0.048
3/20/2017,0.042
3/21/2017,0.047
3/22/2017,0.043
3/23/2017,0.04
3/24/2017,0.048
3/25/2017,0.051
3/26/2017,0.048
3/27/2017,0.037
3/28/2017,0.044
3/29/2017,0.048
3/30/2017,0.04
3/31/2017,0.037
4/1/2017,0.043
4/2/2017,0.044
4/3/2017,0.054
4/4/2017,0.05
4/5/2017,0.053
4/6/2017,0.051
4/7/2017,0.046
4/8/2017,0.052
4/23/2017,0.057
4/24/2017,0.047
4/25/2017,0.039
4/27/2017,0.051
4/28/2017,0.039
4/29/2017,0.048
4/30/2017,0.042
5/1/2017,0.051
5/2/2017,0.043
5/3/2017,0.049
5/4/2017,0.05
5/5/2017,0.048
5/6/2017,0.051
5/7/2017,0.047
5/8/2017,0.037
5/10/2017,0.053
5/11/2017,0.058
5/12/2017,0.057
5/13/2017,0.058
5/14/2017,0.047
5/15/2017,0.052
5/16/2017,0.048
5/17/2017,0.047
5/18/2017,0.042
5/19/2017,0.043
5/20/2017,0.048
5/21/2017,0.045
5/22/2017,0.05
5/23/2017,0.053
5/24/2017,0.048
5/25/2017,0.055
5/26/2017,0.045
5/27/2017,0.041
5/28/2017,0.047
5/29/2017,0.051
5/30/2017,0.064
5/31/2017,0.064
6/1/2017,0.055
6/2/2017,0.054
6/3/2017,0.062
6/4/2017,0.059
6/5/2017,0.054
6/6/2017,0.062
6/7/2017,0.063
6/8/2017,0.061
6/9/2017,0.051
6/10/2017,0.044
6/11/2017,0.05
6/12/2017,0.052
6/13/2017,0.031
6/14/2017,0.051
6/15/2017,0.052
6/16/2017,0.038
6/17/2017,0.055
6/18/2017,0.049
6/19/2017,0.038
6/20/2017,0.048
6/21/2017,0.049
6/22/2017,0.055
6/23/2017,0.058
6/24/2017,0.058
6/25/2017,0.049
6/26/2017,0.057
6/27/2017,0.047
6/28/2017,0.041
6/29/2017,0.048
6/30/2017,0.049
7/1/2017,0.059
7/2/2017,0.054
7/3/2017,0.063
7/4/2017,0.062
7/5/2017,0.061
7/6/2017,0.053
7/7/2017,0.058
7/8/2017,0.055
7/9/2017,0.053
7/10/2017,0.058
7/11/2017,0.058
7/12/2017,0.054
7/13/2017,0.059
7/14/2017,0.055
7/15/2017,0.062
7/16/2017,0.048
7/17/2017,0.046
7/18/2017,0.056
7/19/2017,0.054
7/20/2017,0.058
7/21/2017,0.052
7/22/2017,0.055
7/23/2017,0.049
7/24/2017,0.052
7/25/2017,0.045
7/26/2017,0.051
7/27/2017,0.055
7/28/2017,0.059
7/29/2017,0.052
7/30/2017,0.046
7/31/2017,0.049
8/1/2017,0.049
8/2/2017,0.05
8/3/2017,0.057
8/4/2017,0.055
8/5/2017,0.052
8/6/2017,0.054
8/7/2017,0.055
8/8/2017,0.046
8/9/2017,0.051
8/10/2017,0.054
8/11/2017,0.054
8/12/2017,0.053
8/13/2017,0.05
8/14/2017,0.046
8/15/2017,0.052
8/16/2017,0.059
8/17/2017,0.056
8/18/2017,0.052
8/19/2017,0.055
8/20/2017,0.052
8/21/2017,0.051
8/22/2017,0.053
8/23/2017,0.047
8/24/2017,0.051
8/25/2017,0.048
8/26/2017,0.051
8/27/2017,0.051
8/28/2017,0.052
8/29/2017,0.045
8/30/2017,0.036
8/31/2017,0.049
9/1/2017,0.056
9/2/2017,0.052
9/3/2017,0.051
9/4/2017,0.047
9/5/2017,0.046
9/6/2017,0.058
9/7/2017,0.053
9/8/2017,0.055
9/9/2017,0.052
9/10/2017,0.05
9/11/2017,0.051
9/12/2017,0.048
9/13/2017,0.044
9/14/2017,0.033
9/15/2017,0.04
9/16/2017,0.043
9/17/2017,0.051
9/18/2017,0.05
9/19/2017,0.042
9/20/2017,0.039
9/21/2017,0.03
9/22/2017,0.035
9/23/2017,0.034
9/24/2017,0.023
9/25/2017,0.031
9/26/2017,0.038
9/27/2017,0.042
9/28/2017,0.047
9/29/2017,0.048
9/30/2017,0.044
10/1/2017,0.039
10/2/2017,0.038
10/3/2017,0.032
10/4/2017,0.038
10/5/2017,0.038
10/6/2017,0.04
10/7/2017,0.04
10/8/2017,0.04
10/9/2017,0.036
10/10/2017,0.042
10/11/2017,0.046
10/12/2017,0.042
10/13/2017,0.044
10/14/2017,0.041
10/15/2017,0.042
10/16/2017,0.043
10/17/2017,0.04
10/18/2017,0.041
10/19/2017,0.047
10/20/2017,0.044
10/21/2017,0.041
10/22/2017,0.038
10/23/2017,0.043
10/24/2017,0.04
10/25/2017,0.044
10/26/2017,0.04
10/27/2017,0.043
10/28/2017,0.041
10/29/2017,0.041
10/30/2017,0.03
10/31/2017,0.037
11/1/2017,0.038
11/2/2017,0.037
11/3/2017,0.034
11/4/2017,0.039
11/5/2017,0.023
11/6/2017,0.037
11/7/2017,0.039
11/8/2017,0.038
11/9/2017,0.036
11/10/2017,0.023
11/11/2017,0.043
11/12/2017,0.038
11/13/2017,0.036
11/14/2017,0.042
11/15/2017,0.029
11/16/2017,0.041
11/17/2017,0.043
11/18/2017,0.038
11/19/2017,0.039
11/20/2017,0.023
11/21/2017,0.026
11/22/2017,0.023
11/23/2017,0.021
11/24/2017,0.03
11/25/2017,0.026
11/26/2017,0.024
11/27/2017,0.042
11/28/2017,0.034
11/29/2017,0.038
11/30/2017,0.028
12/1/2017,0.033
12/2/2017,0.019
12/3/2017,0.041
12/4/2017,0.036
12/5/2017,0.03
12/6/2017,0.03
12/7/2017,0.026
12/8/2017,0.021
12/9/2017,0.02
12/10/2017,0.021
12/11/2017,0.019
12/12/2017,0.014
12/13/2017,0.013
12/14/2017,0.015
12/15/2017,0.016
12/16/2017,0.025
12/17/2017,0.031
12/18/2017,0.025
12/19/2017,0.018
12/20/2017,0.045
12/21/2017,0.036
12/22/2017,0.037
12/23/2017,0.042
12/24/2017,0.035
12/25/2017,0.035
12/26/2017,0.035
12/27/2017,0.03
12/28/2017,0.03
12/29/2017,0.032
12/30/2017,0.043
1/1/2018,0.032
1/2/2018,0.031
