Date,HourlyRelativeHumidity,HourlyWindSpeed
2017-01-01T00:51:00,96,7
2017-01-01T01:19:00,95,6
2017-01-01T01:35:00,95,7
2017-01-01T01:51:00,95,5
2017-01-01T02:07:00,95,6
2017-01-01T02:22:00,95,5
2017-01-01T02:49:00,93,0
2017-01-01T02:51:00,92,0
2017-01-01T03:51:00,95,0
2017-01-01T04:24:00,96,6
2017-01-01T04:51:00,100,6
2017-01-01T05:07:00,96,8
2017-01-01T05:19:00,100,3
2017-01-01T05:51:00,92,3
2017-01-01T06:16:00,92,3
2017-01-01T06:51:00,92,3
2017-01-01T06:58:00,92,3
2017-01-01T07:51:00,88,8
2017-01-01T07:56:00,88,7
2017-01-01T08:23:00,96,7
2017-01-01T08:38:00,92,6
2017-01-01T08:51:00,100,0
2017-01-01T09:00:00,88,0
2017-01-01T09:21:00,95,0
2017-01-01T09:41:00,92,3
2017-01-01T09:51:00,84,3
2017-01-01T10:06:00,88,6
2017-01-01T10:46:00,92,0
2017-01-01T10:51:00,92,0
2017-01-01T11:51:00,88,0
2017-01-01T12:51:00,92,5
2017-01-01T13:31:00,85,0
2017-01-01T13:51:00,89,3
2017-01-01T14:51:00,89,3
2017-01-01T15:14:00,89,5
2017-01-01T15:36:00,96,6
2017-01-01T15:43:00,96,6
2017-01-01T15:51:00,92,6
2017-01-01T15:59:00,96,5
2017-01-01T16:34:00,96,6
2017-01-01T16:51:00,100,3
2017-01-01T17:04:00,96,0
2017-01-01T17:45:00,96,0
2017-01-01T17:49:00,93,0
2017-01-01T17:51:00,96,0
2017-01-01T17:57:00,96,0
2017-01-01T18:15:00,89,0
2017-01-01T18:24:00,96,0
2017-01-01T18:31:00,96,0
2017-01-01T18:42:00,92,0
2017-01-01T18:51:00,92,0
2017-01-01T18:57:00,96,3
2017-01-01T19:15:00,96,0
2017-01-01T19:33:00,92,0
2017-01-01T19:43:00,92,0
2017-01-01T19:51:00,92,0
2017-01-01T20:03:00,96,0
2017-01-01T20:15:00,96,0
2017-01-01T20:24:00,92,0
2017-01-01T20:51:00,96,0
2017-01-01T20:56:00,96,0
2017-01-01T21:07:00,96,0
2017-01-01T21:51:00,96,0
2017-01-01T22:51:00,96,0
2017-01-01T23:16:00,100,3
2017-01-01T23:28:00,92,5
2017-01-01T23:45:00,96,5
2017-01-01T23:51:00,92,3
2017-01-01T23:59:00,,
2017-01-02T00:09:00,96,0
2017-01-02T00:14:00,92,0
2017-01-02T00:51:00,96,0
2017-01-02T00:57:00,96,0
2017-01-02T01:12:00,92,3
2017-01-02T01:41:00,96,7
2017-01-02T01:51:00,100,0
2017-01-02T02:01:00,92,3
2017-01-02T02:11:00,89,5
2017-01-02T02:34:00,96,0
2017-01-02T02:49:00,93,6
2017-01-02T02:51:00,96,6
2017-01-02T03:13:00,96,5
2017-01-02T03:51:00,96,3
2017-01-02T04:12:00,92,0
2017-01-02T04:51:00,96,3
2017-01-02T05:23:00,100,3
2017-01-02T05:33:00,95,5
2017-01-02T05:38:00,96,3
2017-01-02T05:44:00,100,6
2017-01-02T05:51:00,95,6
2017-01-02T06:09:00,95,6
2017-01-02T06:17:00,96,7
2017-01-02T06:51:00,92,3
2017-01-02T07:51:00,96,7
2017-01-02T08:51:00,95,0
2017-01-02T09:06:00,96,0
2017-01-02T09:35:00,100,0
2017-01-02T09:51:00,96,3
2017-01-02T10:51:00,92,3
2017-01-02T11:51:00,88,3
2017-01-02T12:51:00,78,3
2017-01-02T13:51:00,84,7
2017-01-02T14:51:00,84,6
2017-01-02T15:51:00,85,7
2017-01-02T16:51:00,89,3
2017-01-02T17:51:00,88,3
2017-01-02T18:51:00,100,6
2017-01-02T19:05:00,100,3
2017-01-02T19:51:00,100,0
2017-01-02T20:51:00,91,0
2017-01-02T21:51:00,96,9
2017-01-02T21:57:00,96,8
2017-01-02T22:51:00,95,0
2017-01-02T23:51:00,91,0
2017-01-02T23:59:00,,
2017-01-03T00:51:00,92,6
2017-01-03T01:51:00,88,3
2017-01-03T02:51:00,92,3
2017-01-03T03:51:00,92,9
2017-01-03T04:51:00,95,6
2017-01-03T05:51:00,92,5
2017-01-03T06:51:00,96,0
2017-01-03T07:51:00,87,0
2017-01-03T08:24:00,88,0
2017-01-03T08:33:00,95,0
2017-01-03T08:38:00,95,0
2017-01-03T08:42:00,95,3
2017-01-03T08:51:00,100,0
2017-01-03T09:51:00,95,0
2017-01-03T10:51:00,92,5
2017-01-03T11:51:00,85,3
2017-01-03T12:14:00,92,0
2017-01-03T12:23:00,85,0
2017-01-03T12:32:00,89,0
2017-01-03T12:48:00,93,5
2017-01-03T12:49:00,93,5
2017-01-03T12:51:00,92,5
2017-01-03T13:03:00,96,5
2017-01-03T13:22:00,92,3
2017-01-03T13:48:00,100,0
2017-01-03T13:51:00,92,0
2017-01-03T14:51:00,92,0
2017-01-03T15:38:00,89,0
2017-01-03T15:51:00,92,0
2017-01-03T15:59:00,92,0
2017-01-03T16:51:00,96,5
2017-01-03T17:51:00,92,0
2017-01-03T18:51:00,96,3
2017-01-03T19:51:00,96,3
2017-01-03T20:51:00,96,6
2017-01-03T21:08:00,96,6
2017-01-03T21:18:00,96,6
2017-01-03T21:24:00,96,7
2017-01-03T21:35:00,92,3
2017-01-03T21:49:00,93,5
2017-01-03T21:51:00,96,5
2017-01-03T21:59:00,96,3
2017-01-03T22:31:00,92,0
2017-01-03T22:40:00,92,0
2017-01-03T22:51:00,92,0
2017-01-03T23:07:00,92,0
2017-01-03T23:19:00,92,0
2017-01-03T23:35:00,96,0
2017-01-03T23:44:00,96,3
2017-01-03T23:49:00,93,5
2017-01-03T23:51:00,92,5
2017-01-03T23:59:00,,
2017-01-04T00:00:00,96,0
2017-01-04T00:20:00,96,0
2017-01-04T00:28:00,96,0
2017-01-04T00:33:00,96,0
2017-01-04T00:51:00,96,0
2017-01-04T01:00:00,92,0
2017-01-04T01:20:00,96,0
2017-01-04T01:26:00,96,0
2017-01-04T01:51:00,100,0
2017-01-04T02:00:00,96,3
